product_id,store_id,featured,product_name,unit,sales,cost_price,sell_price1,sell_price2,sell_price3,stock,stock_min,sold
 BR0416 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Fiber Gelombang 2,40 O,6",lmbr,null,62640,84000,84000,77000,20,5,2
 BR0300 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 1060 5kg,kaleng,null,143000,159000,159000,158000,3,3,0
BR1463,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilek 8003,galon,null,143000,159000,159000,159000,2,2,0
 BR1252 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,timah solder,gulung,null,16500,25000,25000,22000,9,3,1
 BR0558 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,tali Ties 10Cm,pak,null,3250,10000,10000,10000,100000025,1,3
 BR0997 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Saklar + Stop Kontak IB,pcs,null,20000,22000,22000,22000,1,3,1
 BR0396 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Engsel Sendok A,psg,null,8500,15000,15000,12000,21,12,1
 BR0797 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Mata Obeng + Biasa ,pc,null,3666,7000,7000,7000,92,5,1
 BR0773 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Mata Bor Beton  12Mm,pc,null,12500,40000,40000,40000,5,5,0
BR1350,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,jet sower niken,pcs,null,55000,67000,67000,67000,8,2,0
 BR0714 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kunci Pas 6,PCS,null,11500,15000,15000,15000,0,3,0
BR1427,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,mata bor NACI 3mm,pcs,null,14950,20000,20000,20000,27,5,4
 BR0328 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 939 5kg,kaleng,null,143000,159000,159000,158000,1,3,0
 BR1025 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Selang Mesin Cuci 1,50",bh,null,28000,35000,35000,35000,6,3,0
 BR0979 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Ring Besi 10X25 6 Ful,pcs,null,2000,2500,2500,2300,926,200,0
 BR0606 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Keni 45 Drajat 4'',pcs,null,21466,38000,38000,38000,12,5,3
 BR0405 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Engsel Tipis 3Lobabg Kuning,psg,null,6000,10000,10000,7000,99999998,12,0
 BR0994 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Roda Rel Atas,pcs,null,30000,40000,40000,40000,100000000,200,0
 BR0163 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian 466 kecil,klg,null,11500,15000,15000,14000,7,2,0
BR1357,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat genteng envi 1kg 8R04,klg,null,55000,65000,65000,60000,7,2,0
 BR0943 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Pipa Rucika 6 D,btg,null,293000,350000,350000,335000,8,5,0
 BR0242 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat plitur boyo 600 1kg,kaleng,null,71000,75000,75000,72000,4,3,0
 BR1165 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,tarikan laci C 1 besar,pcs,null,4000,7000,7000,7000,33,5,1
 BR1235 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Waterpas Magnet 24'' camel 60Cm,pcs,null,75000,95000,95000,90000,12,2,0
 BR0573 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kasa Gipsun Lem,pcs,null,7500,12000,12000,10000,36,10,9
 BR0356 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Dakting /tutup kabel,pcs,null,7750,13000,13000,13000,46,5,11
 BR0271 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat q luc 1518 4.5kg,kaleng,null,63407,75000,75000,72000,0,3,4
 BR0719 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Lampu Ac 15W,dus,null,20500,30000,30000,30000,12,3,2
 BR0687 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kuas Biasa 1''1/2,pcs,null,2500,5000,5000,5000,180,12,0
 BR0354 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Corong Topi 3 In,pcs,null,7000,9000,9000,9000,189,5,0
BR1293,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,soda api kecil,pak,null,4000,6000,6000,6000,55,10,4
 BR0347 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,closet jongkok orta hijau,pcs,null,95000,120000,120000,110000,14,3,0
 BR0718 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Lampu Ac 12W,BH,null,16500,25000,25000,25000,0,3,1
 BR0442 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Flok Sok 3X2  D,pcs,null,7340,13000,13000,13000,19,15,0
 BR0993 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Roda Pager 7Cm ,pcs,null,60000,75000,75000,75000,11,2,0
 BR0049 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat kolam coting rt 02 1kg avian,klg,null,85000,95000,95000,92000,2,2,2
 BR0297 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Cat q luc 1505 20Kg/pel putih,pel,null,245659,295000,295000,285000,4,3,2
 BR1117 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Spandek Tranfaran 4 M,lmbr,null,400000,540000,540000,500000,5,2,1
BR1372,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,engsel patom 3 lobang,psng,null,7000,10000,10000,10000,5,4,1
 BR0808 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Mesin Gurinda Makita M0900B,pc,null,390000,470000,470000,470000,2,1,0
BR1342,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,pilok GP 941,klg,null,25000,30000,30000,28000,12,3,0
 BR0173 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian 732 kecil,klg,null,11500,15000,15000,14000,9,2,0
BR1437,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,sower mandi cisal,bh,null,60000,70000,70000,70000,2,1,0
 BR0119 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Bondek 0,70 4M",lmbr,null,280000,408000,420000,396000,15,3,2
BR1380,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,gantungan lampu jalan,set,null,25000,30000,30000,27000,4,1,1
 BR0325 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 934 5kg,kaleng,null,143000,159000,159000,158000,4,3,0
 BR0256 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,plitur propan y501 1kg,kaleng,null,70434,75000,75000,73000,18,2,1
 BR0085 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,skrup kayu 1in ,dus,null,8500,15000,15000,12000,100000000,2,0
 BR1045 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Seng Talang 1,20Cm",mtr,null,43000,55000,55000,52000,116,50,14
 BR0555 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,tali Ties  25Cm Ecer,pcs,null,500,500,500,500,100000000,1,0
 BR0624 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Klem Besi 1/2,pcs,null,1000,2000,2000,2000,92,10,0
 BR1097 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Sok Drat Luar  1'',pcs,null,2600,7000,7000,7000,42,5,2
 BR0715 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kunci Pas 8,PCS,null,9000,15000,15000,15000,10,3,0
 BR0184 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat envi 906 1/2kg,klg,null,38000,48000,48000,48000,1,1,0
 BR1212 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Toren Pinguin 300L,bh,null,638500,750000,750000,750000,100000000,1,0
 BR0847 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Pager Brc 90 Cm,lmbr,null,100000,135000,135000,130000,7,3,2
 BR1242 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Wf Inp100X6,btg,null,731000,950000,950000,950000,1,1,0
 BR0195 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat envi 928 1/2kg,klg,null,38000,48000,48000,48000,1,1,0
 BR0638 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Klem Pvc 21/2',pcs,null,2500,4000,4000,4000,24,10,7
 BR0143 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat genteng envi 4kg 8R08,gln,null,205000,230000,230000,225000,2,2,0
 BR0136 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian hitam dop SBM 1kg,klg,null,71225,78000,78000,76000,11,4,0
 BR0626 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Klem Besi 2',pcs,null,3000,4000,4000,4000,17,10,0
 BR0086 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,skrup kayu 2 in ecer,pcs,null,400,500,500,500,99999968,100,22
 BR0334 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 947 5kg,kaleng,null,143000,159000,159000,158000,3,3,0
 BR1261 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,slot pvc kamar mndi,pcs,null,2000,5000,5000,5000,6,5,1
 BR1216 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Triplek 15Mm,lmbr,null,151000,170000,170000,165000,5,5,3
 BR0753 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Magnet Penahan Pintu,pc,null,15000,25000,25000,25000,5,5,0
 BR0283 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat q luc 1547 4.5kg,kaleng,null,63407,75000,75000,72000,0,3,3
 BR0950 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Plastik Cor /M,mtr,null,2000,4000,4000,3000,99999932,1,10.5
 BR0738 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Lisplang 2,40M X10Cm PROFIL",lmbr,null,18000,25000,25000,22000,50,5,0
 BR0168 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian 657 kecil,klg,null,10753,15000,15000,14000,29,2,0
 BR1098 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Sok Drat Luar  3/4'',pcs,null,3500,6000,6000,6000,12,5,1
 BR0229 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat yoko 796 1kg,klg,null,51522,58000,58000,56000,11,4,1
 BR0799 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Mata Sirkel Ryu 4',pc,null,23500,45000,45000,45000,21,3,1
 BR0302 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 1155 5kg,kaleng,null,143000,159000,159000,158000,3,3,0
BR1331,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,pilok GP 9173,klg,null,25000,30000,30000,28000,11,3,0
BR1473,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilek 182 galon,galon,null,143000,159000,159000,159000,3,2,0
 BR0394 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Engsel patrom Tengah Kupu Kupu,psg,null,19000,25000,25000,22000,100000000,12,0
 BR0308 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 330 5kg,kaleng,null,143000,159000,159000,158000,7,3,0
BR1278,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat yoko 786 1kg,kaleng,null,51225,58000,58000,58000,12,4,0
 BR1136 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Steker Gepeng Broco,pcs,null,6000,8000,8000,8000,10,5,4
BR1348,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,pilok GP 940  putih,klg,null,25000,30000,30000,28000,34,3,2
 BR0373 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Dop  Polos 1'',pcs,null,2000,5000,5000,5000,100000000,10,0
 BR0640 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Klem Pvc 3/4,pcs,null,1500,2000,2000,2000,110,10,5
 BR1193 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Terminal Kabel 5M Lobang 3,pcs,null,23000,35000,35000,35000,3,3,1
 BR0019 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,aquaprof 021 4kg,galon,null,206000,220000,220000,220000,2,3,1
 BR0284 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat q luc 1549 4.5kg,kaleng,null,63368,75000,75000,72000,2,3,1
 BR0042 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Asbes Elephan 1,50",lmbr,null,43300,51000,54000,49000,74,10,1
 BR0584 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kawat Duri Lidi,rol,null,75000,95000,95000,95000,0,30,0
 BR0824 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Nok Spandek Pasir ,lmbr,null,70000,115000,115000,95000,23,5,0
BR1470,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilek 918 galon ,galon,null,143000,159000,159000,159000,4,2,0
 BR0148 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian 192 1kg,klg,null,71225,78000,78000,76000,4,4,0
 BR0818 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Meteran Soligen 7M,pc,null,30000,40000,40000,40000,33,5,4
BR1263,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,SALES AVIAN,RP,null,3846150,1,0,0,100000002,1,0
 BR0553 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kabel Rambut Tranfaran 2X50  /M,mtr,null,1600,3000,2500,2500,374,100,21
 BR1123 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Spandek Polos  4M,lmbr,null,112000,152000,160000,150000,19,5,0
 BR0812 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Meteran Biasa 7,5M Karet",pc,null,20000,25000,25000,23000,14,5,3
 BR0866 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Paku Beton 7Cm Merabu,dus,null,35000,50000,50000,45000,4,3,3
BR1264,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,SALES PT JAYA ALAM LESTARI,RP,null,6125000,1,1,1,100000001,1,0
 BR0231 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat yoko 89 1kg,klg,null,51522,58000,58000,56000,1,4,10
 BR0105 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Besi 6 Sni Srb,btg,null,22000,29000,30000,28000,86,30,37
BR1274,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,propan Batu Alam cleer glos,kaleng,null,70018,85000,85000,82000,17,3,0
 BR0629 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Klem Besi 3/4,pcs,null,1500,2500,2500,2500,253,10,0
 BR0036 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,aquaprof 081 4kg,galon,null,206538,220000,220000,220000,7,3,0
 BR0611 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Keni Drat Dalam Biasa 3/4 ,pcs,null,4000,6000,6000,6000,21,5,0
BR1368,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,MCB 6 AMPER,bh,null,18000,25000,25000,23000,10,3,0
 BR1180 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Tee 6'',pcs,null,100000,115000,115000,115000,4,2,0
 BR0233 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat yoko hitam dop sbm 1kg,klg,null,51522,58000,58000,56000,22,2,4
